subject_id	subject_label	subject_class	predicate_id	object_id	object_label	object_json_path	transform	mapping_justification	comment
dcterms:title	title	dcat:Dataset	skos:exactMatch	schema:name	name	$.schema:name	text	semapv:ManualMappingCuration	Required by CDIF core; falls back to 'Untitled'.
dcterms:description	description	dcat:Dataset	skos:exactMatch	schema:description	description	$.schema:description	text	semapv:ManualMappingCuration	
dcterms:identifier	identifier	dcat:Dataset	skos:exactMatch	schema:identifier	identifier	$.schema:identifier	text	semapv:ManualMappingCuration	Falls back to adms:identifier when absent.
dcterms:issued	issued	dcat:Dataset	skos:exactMatch	schema:datePublished	datePublished	$.schema:datePublished	date	semapv:ManualMappingCuration	Also fills dateModified when dcterms:modified is absent.
dcterms:modified	modified	dcat:Dataset	skos:exactMatch	schema:dateModified	dateModified	$.schema:dateModified	date	semapv:ManualMappingCuration	Required by CDIF core; falls back to issued, then to conversion time.
dcterms:language	language	dcat:Dataset	skos:exactMatch	schema:inLanguage	inLanguage	$.schema:inLanguage	langcode	semapv:ManualMappingCuration	IRI-valued in DCAT-AP; the subtag is taken from the last IRI segment.
dcterms:publisher	publisher	dcat:Dataset	skos:exactMatch	schema:publisher	publisher	$.schema:publisher	agent	semapv:ManualMappingCuration	
dcterms:creator	creator	dcat:Dataset	skos:exactMatch	schema:creator	creator	$.schema:creator	agent	semapv:ManualMappingCuration	foaf:Agent -> schema:Person or schema:Organization.
dcterms:contributor	contributor	dcat:Dataset	skos:exactMatch	schema:contributor	contributor	$.schema:contributor	agent	semapv:ManualMappingCuration	
dcterms:license	license	dcat:Dataset	skos:exactMatch	schema:license	license	$.schema:license	iri	semapv:ManualMappingCuration	
dcterms:accessRights	accessRights	dcat:Dataset	skos:closeMatch	schema:conditionsOfAccess	conditionsOfAccess	$.schema:conditionsOfAccess	text	semapv:ManualMappingCuration	
dcterms:rights	rights	dcat:Dataset	skos:closeMatch	schema:conditionsOfAccess	conditionsOfAccess	$.schema:conditionsOfAccess	text	semapv:ManualMappingCuration	Only when accessRights is absent; the two would otherwise collide.
dcterms:spatial	spatial	dcat:Dataset	skos:closeMatch	schema:spatialCoverage	spatialCoverage	$.schema:spatialCoverage	place	semapv:ManualMappingCuration	dcterms:Location -> schema:Place; bbox/centroid/geometry folded in.
dcterms:temporal	temporal	dcat:Dataset	skos:closeMatch	schema:temporalCoverage	temporalCoverage	$.schema:temporalCoverage	period	semapv:ManualMappingCuration	dcterms:PeriodOfTime -> ISO 8601 interval.
dcterms:type	type	dcat:Dataset	skos:closeMatch	schema:additionalType	additionalType	$.schema:additionalType	iri	semapv:ManualMappingCuration	
dcterms:relation	relation	dcat:Dataset	skos:exactMatch	dcterms:relation	relation	$.dcterms:relation	iri	semapv:ManualMappingCuration	CDIF keeps dcterms:relation as itself.
dcterms:conformsTo	conformsTo	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	NOT routed to subjectOf: that node carries CDIF's own profile conformance, and a source value there would corrupt conformance detection.
dcterms:accrualPeriodicity	accrualPeriodicity	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	No CDIF target; schema:repeatFrequency is not in the profile.
dcterms:hasPart	hasPart	dcat:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	schema:hasPart exists only in cdifManifest, not in core/discovery.
